name,age,sponsor,fights,strikes,strike_accuracy,take_downs,take_down_accuracy,knock_downs,reversals,submissions
"St-Pierre, Georges",Bud Light,36,22,2591,67.50,90,73.80,9,5,3
"Leites, Thales",Tapout,36,20,750,48.90,32,26.00,3,0,5
"Machida, Lyoto",Xbox,39,24,916,57.90,14,63.60,13,2,1
"Natal, Rafael",Bud Light,35,17,1055,57.90,36,34.30,5,1,1
"Dollaway, CB",Reebock,34,19,744,58.80,37,54.40,3,6,2
"Evans, Rashad",Xbox,38,23,921,46.50,53,42.70,4,1,0
"Weidman, Chris",Reebock,33,14,618,53.50,36,51.40,3,0,3
"Smith, Trevor",Bud Light,37,13,676,70.00,13,36.10,2,2,0
"Carlos Junior, Antonio",Xbox,28,10,386,57.60,25,46.30,0,1,4
"Souza, Jacare",Bud Light,28,11,294,60.20,12,34.30,2,1,4
"Hendricks, Johny",Reebock,34,21,1355,55.40,61,50.00,6,0,0
"Jotko, Krzysztof",Tapout,28,11,664,61.10,9,42.90,2,3,0
"Gastelum, Kelvin",Tapout,26,15,805,51.30,9,50.00,8,5,2
"Kelly, Daniel",Bud Light,29,10,499,47.30,12,34.30,0,0,1
"Bisping, Michael",Reebock,32,30,1935,42.30,26,43.30,8,2,0
