name,age,sponsor,fights,strikes,strike_accuracy,take_downs,take_down_accuracy,knock_downs,reversals,submissions
"Andrade, Jessica",Xbox,26,13,1385,58.80,33,58.90,1,1,2
"Jedrzejczyk, Joanna",Xbox,30,10,1316,50.40,1,50.00,1,0,0
"Gadelha, Claudia",Reebock,29,8,511,51.00,27,50.00,1,0,1
"Calderwood, Joanne",Bud Light,31,8,620,58.70,8,57.10,3,1,0
"Markos, Randa",Reebock,29,8,664,56.70,12,30.00,0,4,0
"Namajunas, Rose",Reebock,25,8,451,45.00,16,59.30,2,1,3
"Torres, Tecia",Bud Light,28,8,783,57.30,7,22.60,1,0,1
"Casey, Cortney",Xbox,30,8,556,48.00,2,66.70,0,2,1
"Lima, Juliana",Bud Light,36,7,416,60.80,11,31.40,0,3,0
"Esparza, Carla",Tapout,30,7,484,56.00,23,35.90,0,1,1
"Herrig, Felice",Xbox,33,7,483,44.20,7,31.80,0,3,2
"Hill, Angela",Tapout,33,7,615,54.80,2,50.00,2,1,0
"Kowalkiewicz, Karolina",Bud Light,32,7,753,44.20,1,14.30,0,1,0
"Moroz, Maryna",Tapout,26,6,311,29.50,1,20.00,0,0,1
"Waterson, Michelle",Xbox,32,5,212,64.20,7,87.50,0,1,2
"Penne, Jessica",Tapout,35,5,221,41.70,5,18.50,0,1,0
